Lane,Sample,Index
*,10x5_1,SI-GA-E4
*,10x5_2,SI-GA-C2
*,10x5_3,SI-GA-G4
*,10x5_4,SI-GA-D2
*,10x5_5,SI-GA-B5
*,10x5_6,SI-GA-E2
*,10x5_7,SI-GA-E6
*,10x5_8,SI-GA-A5
*,10x5_9,SI-GA-F7
*,10x5_10,SI-GA-F2
*,10x5_11,SI-GA-C6
*,10x5_12,SI-GA-G6
*,10x5_13,SI-GA-F4
*,10x5_14,SI-GA-D5
*,10x5_15,SI-GA-B4
*,10x5_16,SI-GA-A7
*,10x5_17,SI-GA-C7
*,10x5_18,SI-GA-E5
*,10x5_19,SI-GA-D3
