Lane,Sample,Index
*,10x2_1,SI-GA-D6
*,10x2_2,SI-GA-F6
*,10x2_3,SI-GA-H4
*,10x2_4,SI-GA-H5
*,10x2_5,SI-GA-A6
*,10x2_6,SI-GA-C5
*,10x2_7,SI-GA-H6
*,10x2_8,SI-GA-G2
*,10x2_9,SI-GA-H2
*,10x2_10,SI-GA-B7
*,10x2_11,SI-GA-C4
*,10x2_12,SI-GA-B3
*,10x2_13,SI-GA-C3
*,10x2_14,SI-GA-F3
*,10x2_15,SI-GA-A3
*,10x2_16,SI-GA-F8
*,10x2_17,SI-GA-G3
*,10x2_18,SI-GA-D4
*,10x2_19,SI-GA-A4
