Lane,Sample,Index
*,10x4_1,SI-GA-D7
*,10x4_2,SI-GA-E3
*,10x4_3,SI-GA-H7
*,10x4_4,SI-GA-A8
*,10x4_5,SI-GA-C8
*,10x4_6,SI-GA-D8
*,10x4_7,SI-GA-E8
*,10x4_8,SI-GA-B8
*,10x4_9,SI-GA-G8
*,10x4_10,SI-GA-H8
*,10x4_11,SI-GA-A9
*,10x4_12,SI-GA-B9
*,10x4_13,SI-GA-C9
*,10x4_14,SI-GA-D9
*,10x4_15,SI-GA-E9
*,10x4_16,SI-GA-F9
*,10x4_17,SI-GA-F10
*,10x4_18,SI-GA-B6
*,10x4_19,SI-GA-F5
*,10x4_20,SI-GA-G5

