Lane,Sample,Index
*,10x1_1,SI-GA-A1
*,10x1_2,SI-GA-B1
*,10x1_3,SI-GA-C1
*,10x1_4,SI-GA-D1
*,10x1_5,SI-GA-E1
*,10x1_6,SI-GA-F1
*,10x1_7,SI-GA-G1
*,10x1_8,SI-GA-A2
*,10x1_9,SI-GA-H1
*,10x1_10,SI-GA-B2


